#{"t_start": 1734358070.976824, "env_id": "RMSA_ENV-v0"}
r,l,t
100.0,100,92.576895
96.0,100,92.60964
98.0,100,92.642876
100.0,100,92.676743
96.0,100,92.708322
100.0,100,92.779444
96.0,100,92.815736
100.0,100,92.849261
100.0,100,92.884404
100.0,100,92.919303
100.0,100,92.953769
100.0,100,92.987795
98.0,100,93.019512
100.0,100,93.052752
100.0,100,93.085409
100.0,100,93.118995
100.0,100,93.159163
100.0,100,93.194099
100.0,100,93.226931
100.0,100,93.260395
98.0,100,93.295522
100.0,100,93.33148
100.0,100,93.366664
98.0,100,93.401926
100.0,100,93.43583
100.0,100,93.471358
100.0,100,93.505666
98.0,100,93.538809
100.0,100,93.569028
100.0,100,93.603544
100.0,100,93.63824
98.0,100,93.670749
100.0,100,93.70328
100.0,100,93.735923
100.0,100,93.769968
100.0,100,93.804217
100.0,100,93.837145
100.0,100,93.869178
100.0,100,93.902343
98.0,100,93.934009
98.0,100,93.968071
100.0,100,94.00174
100.0,100,94.0349
100.0,100,94.067994
100.0,100,94.099571
96.0,100,94.134112
98.0,100,94.165882
100.0,100,94.20022
100.0,100,94.23271
96.0,100,94.267426
100.0,100,94.29978
100.0,100,94.332132
100.0,100,94.366266
100.0,100,94.399986
100.0,100,94.4325
100.0,100,94.464925
100.0,100,94.498122
100.0,100,94.531435
100.0,100,94.564019
100.0,100,94.596531
98.0,100,94.629283
100.0,100,94.663204
100.0,100,94.696998
100.0,100,94.730948
100.0,100,94.767788
100.0,100,94.810851
100.0,100,94.848281
100.0,100,94.883662
100.0,100,94.917351
100.0,100,94.952166
96.0,100,94.988187
100.0,100,95.038681
100.0,100,95.076099
100.0,100,95.114448
100.0,100,95.150244
94.0,100,95.1852
100.0,100,95.220937
100.0,100,95.252559
98.0,100,95.285839
96.0,100,95.321455
100.0,100,95.354162
100.0,100,95.385478
100.0,100,95.420206
98.0,100,95.457126
98.0,100,95.492033
98.0,100,95.528069
100.0,100,95.562139
100.0,100,95.596583
100.0,100,95.632112
100.0,100,95.668089
100.0,100,95.700313
98.0,100,95.73363
100.0,100,95.765761
100.0,100,95.79872
100.0,100,95.831571
100.0,100,95.861627
100.0,100,95.89717
100.0,100,95.928288
100.0,100,95.961003
98.0,100,95.995359
98.0,100,96.028108
100.0,100,96.062052
100.0,100,96.095925
100.0,100,96.13164
100.0,100,96.165864
100.0,100,96.198929
100.0,100,96.232572
100.0,100,96.266105
100.0,100,96.29922
100.0,100,96.33419
98.0,100,96.366469
100.0,100,96.401965
100.0,100,96.437631
100.0,100,96.470546
100.0,100,96.502438
100.0,100,96.535769
98.0,100,96.601336
88.0,100,96.634524
100.0,100,96.668518
98.0,100,96.700996
100.0,100,96.733216
100.0,100,96.766966
98.0,100,96.80261
100.0,100,96.836334
100.0,100,96.87009
100.0,100,96.90292
98.0,100,96.934512
100.0,100,96.96943
100.0,100,97.004853
98.0,100,97.038333
96.0,100,97.072091
100.0,100,97.104538
100.0,100,97.137402
100.0,100,97.171388
100.0,100,97.205032
100.0,100,97.237719
100.0,100,97.269654
100.0,100,97.301794
100.0,100,97.335921
100.0,100,97.368158
